id_pdc                , statut_pdc               , url_description_pdc                                                                                                                                                                                                                                                                                                             , last_updated             , coordonneesxy         , adresse_station                                  , code_insee_commune, arrondissement
FR*V75*EPX12*18*1     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX12*18*1     , 2025-09-25T02:30:05+00:00, "48.84036, 2.378739"  , 5 boulevard de Bercy 75012 Paris                 ,                   , 12e Arrondissement
FR*V75*EPX12*13*3     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX12*13*3     , 2025-09-25T02:30:05+00:00, "48.846306, 2.410751" , 120 cours de Vincennes 75012 Paris               ,                   , 12e Arrondissement
FR*V75*EPX12*12*4     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX12*12*4     , 2025-09-25T02:30:05+00:00, "48.833412, 2.388111" , 44 Rue des Pirogues de Bercy 75012 Paris         ,                   , 12e Arrondissement
FR*V75*EPX08*19*1     , Occupé (en charge)       , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX08*19*1     , 2025-09-25T02:30:05+00:00, "48.877834, 2.310832" , 43 Rue de Monceau 75008 Paris                    ,                   , 08e Arrondissement
FR*V75*EPX07*15*3     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX07*15*3     , 2025-09-25T02:30:05+00:00, "48.85582, 2.3152447" , 21 Boulevard des Invalides 75007 Paris           ,                   , 07e Arrondissement
FR*V75*EPX20*14*1     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX20*14*1     , 2025-09-25T02:30:05+00:00, "48.8657, 2.4087"     , 15 Boulevard Mortier 75020 Paris                 ,                   , 20e Arrondissement
FR*V75*EPX19*09*2     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX19*09*2     , 2025-09-25T02:30:05+00:00, "48.8769, 2.3812"     , 16 Rue de Botzaris 75019 Paris                   ,                   , 19e Arrondissement
FR*V75*EPX18*10*2     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*10*2     , 2025-09-25T02:30:05+00:00, "48.8823, 2.3395"     , 2 Boulevard de Clichy 75018 Paris                ,                   , 18e Arrondissement
FR*V75*EPX18*10*5     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*10*5     , 2025-09-25T02:30:05+00:00, "48.8823, 2.3395"     , 2 Boulevard de Clichy 75018 Paris                ,                   , 18e Arrondissement
FR*V75*EPX17*12*4     , Occupé (en charge)       , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX17*12*4     , 2025-09-25T02:30:05+00:00, "48.876, 2.2884"      , 40 Avenue de la Grande Armée 75017 Paris         ,                   , 17e Arrondissement
